iter	Passed	Remaining
852	3818151	657993
853	3823032	653586
854	3827148	649048
855	3832229	644674
856	3837111	640264
857	3840539	635613
858	3844307	631021
859	3848491	626498
860	3853072	622040
861	3857173	617505
862	3860861	612906
863	3865932	608526
864	3870463	604060
865	3874367	599498
866	3878870	595028
867	3883918	590641
868	3888514	586185
869	3892492	581636
870	3896890	577151
871	3902211	572801
872	3906276	568266
873	3910853	563807
874	3916417	559488
875	3920853	555006
876	3925038	550489
877	3929234	545975
878	3934211	541569
879	3938188	537025
880	3942501	532528
881	3947153	528077
882	3951799	523624
883	3955792	519085
884	3961715	514799
885	3966480	510359
886	3970945	505881
887	3976930	501594
888	3983369	497361
889	3990294	493182
890	3996847	488952
891	4003176	484689
892	4009173	480382
893	4014888	476038
894	4019431	471553
895	4023573	467021
896	4028348	462564
897	4034483	458259
898	4041430	454042
899	4046282	449586
900	4051010	445116
901	4055188	440585
902	4060356	436162
903	4064515	431629
904	4068871	427119
905	4073299	422616
906	4078013	418142
907	4082043	413599
908	4086461	409095
909	4090643	404569
910	4095046	400064
911	4099323	395548
912	4103464	391020
913	4108115	386540
914	4112441	382030
915	4116415	377487
916	4120454	372952
917	4125090	368472
918	4129749	363993
919	4133792	359460
920	4138568	354991
921	4143226	350511
922	4147025	345959
923	4151442	341460
924	4157759	337115
925	4161856	332588
926	4166060	328071
927	4170058	323539
928	4174759	319061
929	4178475	314508
930	4182479	309979
931	4187119	305497
932	4191604	301004
933	4195513	296471
934	4199654	291954
935	4204867	287512
936	4209351	283019
937	4213653	278514
938	4218186	274024
939	4223055	269556
940	4227372	265053
941	4231500	260538
942	4235964	256044
943	4240755	251570
944	4245450	247089
945	4250967	242655
946	4255095	238141
947	4258943	233612
948	4262724	229082
949	4267170	224587
950	4271402	220082
951	4275335	215563
952	4280091	211085
953	4285827	206654
954	4289488	202122
955	4293209	197595
956	4297390	193090
957	4302233	188615
958	4305686	184080
959	4309826	179576
960	4314368	175088
961	4318633	170590
962	4322211	166066
963	4326375	161565
964	4330404	157061
965	4334743	152568
966	4338469	148055
967	4342860	143565
968	4347029	139069
969	4351086	134569
970	4355507	130082
971	4359948	125595
972	4364477	121110
973	4368734	116619
974	4372401	112112
975	4376968	107630
976	4382042	103159
977	4387328	98692
978	4391490	94199
979	4396284	89720
980	4400538	85229
981	4404377	80731
982	4409491	76257
983	4414433	71779
984	4418873	67292
985	4422929	62800
986	4427661	58317
987	4432588	53837
988	4436320	49342
989	4441179	44860
990	4445839	40375
991	4449348	35881
992	4453780	31396
993	4458177	26910
994	4462473	22424
995	4466342	17937
996	4470612	13452
997	4475175	8968
998	4479290	4483
999	4483157	0
